Date,Open,High,Low,Close,Adj Close,Volume
1995-01-03,7.200000,7.200000,7.200000,7.200000,1.164047,0
1995-01-04,7.210000,7.210000,7.210000,7.210000,1.165664,0
1995-01-05,7.200000,7.200000,7.200000,7.200000,1.164047,0
1995-01-06,7.210000,7.210000,7.210000,7.210000,1.165664,0
1995-01-09,7.210000,7.210000,7.210000,7.210000,1.165664,0
1995-01-10,7.210000,7.210000,7.210000,7.210000,1.165664,0
1995-01-11,7.210000,7.210000,7.210000,7.210000,1.165664,0
1995-01-12,7.200000,7.200000,7.200000,7.200000,1.164047,0
1995-01-13,7.210000,7.210000,7.210000,7.210000,1.165664,0
1995-01-16,7.210000,7.210000,7.210000,7.210000,1.165664,0
1995-01-17,7.210000,7.210000,7.210000,7.210000,1.165664,0
1995-01-18,7.210000,7.210000,7.210000,7.210000,1.165664,0
1995-01-19,7.210000,7.210000,7.210000,7.210000,1.165664,0
1995-01-20,7.210000,7.210000,7.210000,7.210000,1.165664,0
1995-01-23,7.200000,7.200000,7.200000,7.200000,1.164047,0
1995-01-24,7.200000,7.200000,7.200000,7.200000,1.164047,0
1995-01-25,7.200000,7.200000,7.200000,7.200000,1.164047,0
1995-01-26,7.220000,7.220000,7.220000,7.220000,1.167281,0
1995-01-27,7.230000,7.230000,7.230000,7.230000,1.168897,0
1995-01-30,7.230000,7.230000,7.230000,7.230000,1.168897,0
1995-01-31,7.240000,7.240000,7.240000,7.240000,1.179981,0
1995-02-01,7.240000,7.240000,7.240000,7.240000,1.179981,0
1995-02-02,7.240000,7.240000,7.240000,7.240000,1.179981,0
1995-02-03,7.260000,7.260000,7.260000,7.260000,1.183240,0
1995-02-06,7.280000,7.280000,7.280000,7.280000,1.186499,0
1995-02-07,7.290000,7.290000,7.290000,7.290000,1.188129,0
1995-02-08,7.300000,7.300000,7.300000,7.300000,1.189758,0
1995-02-09,7.300000,7.300000,7.300000,7.300000,1.189758,0
