Date,Open,High,Low,Close,Adj Close,Volume
1995-05-04,9.180000,9.180000,9.180000,9.180000,2.180316,0
1995-05-05,9.260000,9.260000,9.260000,9.260000,2.199318,0
1995-05-08,9.280000,9.280000,9.280000,9.280000,2.204068,0
1995-05-09,9.310000,9.310000,9.310000,9.310000,2.211193,0
1995-05-10,9.310000,9.310000,9.310000,9.310000,2.211193,0
1995-05-11,9.290000,9.290000,9.290000,9.290000,2.206444,0
1995-05-12,9.290000,9.290000,9.290000,9.290000,2.206444,0
1995-05-15,9.310000,9.310000,9.310000,9.310000,2.211193,0
1995-05-16,9.340000,9.340000,9.340000,9.340000,2.218319,0
1995-05-17,9.360000,9.360000,9.360000,9.360000,2.223067,0
1995-05-18,9.330000,9.330000,9.330000,9.330000,2.215942,0
1995-05-19,9.340000,9.340000,9.340000,9.340000,2.218319,0
1995-05-22,9.330000,9.330000,9.330000,9.330000,2.215942,0
1995-05-23,9.350000,9.350000,9.350000,9.350000,2.220693,0
1995-05-24,9.410000,9.410000,9.410000,9.410000,2.234943,0
1995-05-25,9.440000,9.440000,9.440000,9.440000,2.242069,0
1995-05-26,9.440000,9.440000,9.440000,9.440000,2.242069,0
1995-05-30,9.480000,9.480000,9.480000,9.480000,2.251569,0
1995-05-31,9.430000,9.430000,9.430000,9.430000,2.253958,0
1995-06-01,9.470000,9.470000,9.470000,9.470000,2.263521,0
1995-06-02,9.510000,9.510000,9.510000,9.510000,2.273082,0
1995-06-05,9.520000,9.520000,9.520000,9.520000,2.275471,0
1995-06-06,9.510000,9.510000,9.510000,9.510000,2.273082,0
1995-06-07,9.980000,9.980000,9.980000,9.980000,2.385420,0
1995-06-08,9.470000,9.470000,9.470000,9.470000,2.263521,0
1995-06-09,10.120000,10.120000,10.120000,10.120000,2.418882,0
1995-06-12,9.400000,9.400000,9.400000,9.400000,2.246788,0
1995-06-13,9.480000,9.480000,9.480000,9.480000,2.265910,0
1995-06-14,9.490000,9.490000,9.490000,9.490000,2.268300,0
1995-06-15,9.480000,9.480000,9.480000,9.480000,2.265910,0
1995-06-16,9.470000,9.470000,9.470000,9.470000,2.263521,0
1995-06-19,9.500000,9.500000,9.500000,9.500000,2.270690,0
1995-06-20,9.490000,9.490000,9.490000,9.490000,2.268300,0
1995-06-21,9.500000,9.500000,9.500000,9.500000,2.270690,0
1995-06-22,9.530000,9.530000,9.530000,9.530000,2.277862,0
1995-06-23,9.530000,9.530000,9.530000,9.530000,2.277862,0
1995-06-26,9.540000,9.540000,9.540000,9.540000,2.280251,0
1995-06-27,9.520000,9.520000,9.520000,9.520000,2.275471,0
1995-06-28,9.540000,9.540000,9.540000,9.540000,2.280251,0
1995-06-29,9.480000,9.480000,9.480000,9.480000,2.265910,0
1995-06-30,9.440000,9.440000,9.440000,9.440000,2.270720,0
1995-07-03,9.440000,9.440000,9.440000,9.440000,2.270720,0
1995-07-05,9.440000,9.440000,9.440000,9.440000,2.270720,0
1995-07-06,9.500000,9.500000,9.500000,9.500000,2.285153,0
1995-07-07,9.530000,9.530000,9.530000,9.530000,2.292371,0
1995-07-10,9.530000,9.530000,9.530000,9.530000,2.292371,0
1995-07-11,9.510000,9.510000,9.510000,9.510000,2.287560,0
1995-07-12,9.510000,9.510000,9.510000,9.510000,2.287560,0
1995-07-13,9.510000,9.510000,9.510000,9.510000,2.287560,0
1995-07-14,9.490000,9.490000,9.490000,9.490000,2.282748,0
1995-07-17,9.460000,9.460000,9.460000,9.460000,2.275530,0
1995-07-18,9.440000,9.440000,9.440000,9.440000,2.270720,0
1995-07-19,9.400000,9.400000,9.400000,9.400000,2.261100,0
1995-07-20,9.390000,9.390000,9.390000,9.390000,2.258694,0
1995-07-21,9.360000,9.360000,9.360000,9.360000,2.251479,0
1995-07-24,9.370000,9.370000,9.370000,9.370000,2.253884,0
1995-07-25,9.380000,9.380000,9.380000,9.380000,2.256288,0
1995-07-26,9.360000,9.360000,9.360000,9.360000,2.251479,0
1995-07-27,9.390000,9.390000,9.390000,9.390000,2.258694,0
1995-07-28,9.380000,9.380000,9.380000,9.380000,2.256288,0
1995-07-31,9.330000,9.330000,9.330000,9.330000,2.258708,0
1995-08-01,9.320000,9.320000,9.320000,9.320000,2.256287,0
1995-08-02,9.330000,9.330000,9.330000,9.330000,2.258708,0
1995-08-03,9.310000,9.310000,9.310000,9.310000,2.253868,0
1995-08-04,9.310000,9.310000,9.310000,9.310000,2.253868,0
1995-08-07,9.330000,9.330000,9.330000,9.330000,2.258708,0
1995-08-08,9.330000,9.330000,9.330000,9.330000,2.258708,0
1995-08-09,9.320000,9.320000,9.320000,9.320000,2.256287,0
1995-08-10,9.310000,9.310000,9.310000,9.310000,2.253868,0
1995-08-11,9.280000,9.280000,9.280000,9.280000,2.246606,0
1995-08-14,9.280000,9.280000,9.280000,9.280000,2.246606,0
1995-08-15,9.290000,9.290000,9.290000,9.290000,2.249025,0
1995-08-16,9.300000,9.300000,9.300000,9.300000,2.251449,0
1995-08-17,9.290000,9.290000,9.290000,9.290000,2.249025,0
1995-08-18,9.290000,9.290000,9.290000,9.290000,2.249025,0
1995-08-21,9.310000,9.310000,9.310000,9.310000,2.253868,0
1995-08-22,9.300000,9.300000,9.300000,9.300000,2.251449,0
1995-08-23,9.300000,9.300000,9.300000,9.300000,2.251449,0
1995-08-24,9.330000,9.330000,9.330000,9.330000,2.258708,0
1995-08-25,9.380000,9.380000,9.380000,9.380000,2.270814,0
1995-08-28,9.400000,9.400000,9.400000,9.400000,2.275656,0
1995-08-29,9.390000,9.390000,9.390000,9.390000,2.273235,0
1995-08-30,9.400000,9.400000,9.400000,9.400000,2.275656,0
1995-08-31,9.360000,9.360000,9.360000,9.360000,2.280528,0
1995-09-01,9.390000,9.390000,9.390000,9.390000,2.287839,0
1995-09-05,9.420000,9.420000,9.420000,9.420000,2.295148,0
1995-09-06,9.420000,9.420000,9.420000,9.420000,2.295148,0
1995-09-07,9.410000,9.410000,9.410000,9.410000,2.292711,0
1995-09-08,9.400000,9.400000,9.400000,9.400000,2.290276,0
1995-09-11,9.420000,9.420000,9.420000,9.420000,2.295148,0
1995-09-12,9.440000,9.440000,9.440000,9.440000,2.300020,0
1995-09-13,9.430000,9.430000,9.430000,9.430000,2.297584,0
1995-09-14,9.480000,9.480000,9.480000,9.480000,2.309764,0
1995-09-15,9.480000,9.480000,9.480000,9.480000,2.309764,0
1995-09-18,9.480000,9.480000,9.480000,9.480000,2.309764,0
1995-09-19,9.490000,9.490000,9.490000,9.490000,2.312203,0
1995-09-20,9.500000,9.500000,9.500000,9.500000,2.314640,0
1995-09-21,9.460000,9.460000,9.460000,9.460000,2.304893,0
1995-09-22,9.450000,9.450000,9.450000,9.450000,2.302457,0
1995-09-25,9.460000,9.460000,9.460000,9.460000,2.304893,0
1995-09-26,9.450000,9.450000,9.450000,9.450000,2.302457,0
1995-09-27,9.450000,9.450000,9.450000,9.450000,2.302457,0
1995-09-28,9.450000,9.450000,9.450000,9.450000,2.302457,0
1995-09-29,9.440000,9.440000,9.440000,9.440000,2.314717,0
1995-10-02,9.440000,9.440000,9.440000,9.440000,2.314717,0
1995-10-03,9.460000,9.460000,9.460000,9.460000,2.319620,0
1995-10-04,9.500000,9.500000,9.500000,9.500000,2.329429,0
1995-10-05,9.510000,9.510000,9.510000,9.510000,2.331883,0
1995-10-06,9.520000,9.520000,9.520000,9.520000,2.334332,0
1995-10-09,9.520000,9.520000,9.520000,9.520000,2.334332,0
1995-10-10,9.520000,9.520000,9.520000,9.520000,2.334332,0
1995-10-11,9.520000,9.520000,9.520000,9.520000,2.334332,0
1995-10-12,9.540000,9.540000,9.540000,9.540000,2.339238,0
1995-10-13,9.580000,9.580000,9.580000,9.580000,2.349044,0
1995-10-16,9.570000,9.570000,9.570000,9.570000,2.346593,0
1995-10-17,9.580000,9.580000,9.580000,9.580000,2.349044,0
1995-10-18,9.570000,9.570000,9.570000,9.570000,2.346593,0
1995-10-19,9.580000,9.580000,9.580000,9.580000,2.349044,0
1995-10-20,9.560000,9.560000,9.560000,9.560000,2.344142,0
1995-10-23,9.590000,9.590000,9.590000,9.590000,2.351498,0
1995-10-24,9.590000,9.590000,9.590000,9.590000,2.351498,0
1995-10-25,9.600000,9.600000,9.600000,9.600000,2.353951,0
1995-10-26,9.580000,9.580000,9.580000,9.580000,2.349044,0
1995-10-27,9.580000,9.580000,9.580000,9.580000,2.349044,0
1995-10-30,9.590000,9.590000,9.590000,9.590000,2.351498,0
